Gene ID	Symbol	TaxID
245525	Hsf3	10090
18617	Rhox5	10090
29589	Pou3f4	10116
84472	Ilf3	10116
54608	Abhd2	10090
11057	ABHD2	9606
296953	Irf5	10116
361630	Tead1	10116
58921	Foxm1	10116
11538	Adnp	10090
23394	ADNP	9606
84350	Dnmt1	10116
305494	Aebp1	10116
165	AEBP1	9606
11568	Aebp1	10090
11569	Aebp2	10090
121536	AEBP2	9606
17355	Aff1	10090
16764	Aff3	10090
3899	AFF3	9606
25909	AHCTF1	9606
27245	AHDC1	9606
11622	Ahr	10090
25690	Ahr	10116
196	AHR	9606
11624	Ahrr	10090
498999	Ahrr	10116
57491	AHRR	9606
11634	Aire	10090
294328	Aire	10116
326	AIRE	9606
685072	Rarg	10116
10270	AKAP8	9606
26993	AKAP8L	9606
80709	AKNA	9606
216285	Alx1	10090
8092	ALX1	9606
257	ALX3	9606
13984	Esx1	10090
11694	Alx3	10090
365900	Alx3	10116
11695	Alx4	10090
60529	ALX4	9606
11835	Ar	10090
24208	Ar	10116
367	AR	9606
69710	Arap1	10090
12951	Crx	10090
60446	Crx	10116
18423	Otx1	10090
18424	Otx2	10090
2909	ARHGAP35	9606
8289	ARID1A	9606
93760	Arid1a	10090
239985	Arid1b	10090
57492	ARID1B	9606
77044	Arid2	10090
196528	ARID2	9606
13496	Arid3a	10090
1820	ARID3A	9606
56380	Arid3b	10090
10620	ARID3B	9606
138715	ARID3C	9606
238247	Arid4a	10090
94246	Arid4b	10090
51742	ARID4B	9606
214855	Arid5a	10090
10865	ARID5A	9606
71371	Arid5b	10090
84159	ARID5B	9606
405	ARNT	9606
25243	Arnt2	10116
9915	ARNT2	9606
11863	Arnt	10090
11864	Arnt2	10090
25242	Arnt	10116
170302	ARX	9606
11878	Arx	10090
17172	Ascl1	10090
64186	Ascl1	10116
429	ASCL1	9606
17173	Ascl2	10090
430	ASCL2	9606
121549	ASCL4	9606
55870	ASH1L	9606
29417	Men1	10116
11908	Atf1	10090
315305	Atf1	10116
466	ATF1	9606
11909	Atf2	10090
1386	ATF2	9606
81647	Atf2	10116
11910	Atf3	10090
25389	Atf3	10116
467	ATF3	9606
11911	Atf4	10090
79255	Atf4	10116
468	ATF4	9606
107503	Atf5	10090
282840	Atf5	10116
22809	ATF5	9606
226641	Atf6	10090
22926	ATF6	9606
304962	Atf6	10116
12915	Atf6b	10090
1388	ATF6B	9606
406169	Atf6b	10116
11016	ATF7	9606
223922	Atf7	10090
234776	Atmin	10090
23300	ATMIN	9606
11921	Atoh1	10090
500156	Atoh1	10116
474	ATOH1	9606
53404	Atoh7	10090
365564	Atoh7	10116
220202	ATOH7	9606
71093	Atoh8	10090
84913	ATOH8	9606
24817	Hnf1a	10116
498575	Hesx1	10116
501099	Srf	10116
22589	Atrx	10090
246284	Atrx	10116
546	ATRX	9606
311071	Zeb2	10116
12013	Bach1	10090
304127	Bach1	10116
571	BACH1	9606
12014	Bach2	10090
60468	BACH2	9606
316164	Satb1	10116
54422	Barhl1	10090
56751	BARHL1	9606
104382	Barhl2	10090
343472	BARHL2	9606
12022	Barx1	10090
56033	BARX1	9606
12023	Barx2	10090
8538	BARX2	9606
53314	Batf	10090
299206	Batf	10116
10538	BATF	9606
74481	Batf2	10090
116071	BATF2	9606
381319	Batf3	10090
55509	BATF3	9606
29994	BAZ2B	9606
301446	Carf	10116
56987	BBX	9606
53335	BCL11A	9606
58208	Bcl11b	10090
14025	Bcl11a	10090
305589	Bcl11a	10116
314423	Bcl11b	10116
64919	BCL11B	9606
12051	Bcl3	10090
602	BCL3	9606
680611	Bcl3	10116
12053	Bcl6	10090
303836	Bcl6	10116
604	BCL6	9606
12029	Bcl6b	10090
255877	BCL6B	9606
360551	Bcl6b	10116
17341	Bhlha15	10090
25334	Bhlha15	10116
168620	BHLHA15	9606
320522	Bhlha9	10090
59058	Bhlhe22	10090
27319	BHLHE22	9606
140489	Bhlhe23	10090
128408	BHLHE23	9606
20893	Bhlhe40	10090
79431	Bhlhe40	10116
8553	BHLHE40	9606
79362	Bhlhe41	10090
117095	Bhlhe41	10116
79365	BHLHE41	9606
11865	Bmal1	10090
29657	Bmal1	10116
406	BMAL1	9606
272322	Bmal2	10090
56938	BMAL2	9606
83619	Nfe2l2	10116
646	BNC1	9606
12173	Bnc1	10090
242509	Bnc2	10090
54796	BNC2	9606
54284	Pitx2	10116
2186	BPTF	9606
55290	BRF2	9606
244813	Bsx	10090
390259	BSX	9606
500982	Bsx	10116
362339	Creb3l2	10116
25125	Stat3	10116
23261	CAMTA1	9606
241066	Carf	10090
79800	CARF	9606
69743	Casz1	10090
54897	CASZ1	9606
158506	CBLL2	9606
84733	CBX2	9606
212139	Cc2d1a	10090
54862	CC2D1A	9606
319965	Cc2d1b	10090
288908	Cc2d1a	10116
200014	CC2D1B	9606
74434	Sohlh2	10090
293992	Pax2	10116
25620	Crem	10116
287521	Mnt	10116
25640	Hnf1b	10116
71702	Cdc5l	10090
988	CDC5L	9606
294515	Foxo3	10116
12578	Cdkn2a	10090
25163	Cdkn2a	10116
12590	Cdx1	10090
364883	Cdx1	10116
1044	CDX1	9606
12591	Cdx2	10090
66019	Cdx2	10116
1045	CDX2	9606
12592	Cdx4	10090
1046	CDX4	9606
116668	Myt1l	10116
300095	Srebf2	10116
12606	Cebpa	10090
24252	Cebpa	10116
1050	CEBPA	9606
12608	Cebpb	10090
24253	Cebpb	10116
1051	CEBPB	9606
12609	Cebpd	10090
1052	CEBPD	9606
25695	Cebpd	10116
110794	Cebpe	10090
1053	CEBPE	9606
12611	Cebpg	10090
1054	CEBPG	9606
25301	Cebpg	10116
10153	CEBPZ	9606
1058	CENPA	9606
1059	CENPB	9606
378708	CENPS	9606
201254	CENPX	9606
100366024	Prdm16	10116
8545	CGGBP1	9606
283489	CHAMP1	9606
294924	Mecom	10116
54927	CHCHD3	9606
71722	Cic	10090
308435	Cic	10116
23152	CIC	9606
289201	Lmx1a	10116
312195	Nrf1	10116
60447	Clock	10116
9575	CLOCK	9606
12753	Clock	10090
18143	Npas2	10090
50554	Smad4	10116
4850	CNOT4	9606
64506	CPEB1	9606
60661	Max	10116
12912	Creb1	10090
1385	CREB1	9606
81646	Creb1	10116
12913	Creb3	10090
298400	Creb3	10116
10488	CREB3	9606
26427	Creb3l1	10090
90993	CREB3L1	9606
362165	Creb3l1	10116
208647	Creb3l2	10090
64764	CREB3L2	9606
208677	Creb3l3	10090
84699	CREB3L3	9606
78284	Creb3l4	10090
148327	CREB3L4	9606
231991	Creb5	10090
9586	CREB5	9606
232430	Crebl2	10090
1389	CREBL2	9606
77128	Crebrf	10090
153222	CREBRF	9606
233490	Crebzf	10090
58487	CREBZF	9606
12916	Crem	10090
1390	CREM	9606
1406	CRX	9606
64651	CSRNP1	9606
100360982	Relb	10116
10664	CTCF	9606
83726	Ctcf	10116
13018	Ctcf	10090
664799	Ctcfl	10090
140690	CTCFL	9606
13047	Cux1	10090
1523	CUX1	9606
116639	Cux1	10116
13048	Cux2	10090
23316	CUX2	9606
25705	Zeb1	10116
291023	Id4	10116
74322	Cxxc1	10090
30827	CXXC1	9606
80319	CXXC4	9606
51523	CXXC5	9606
29228	Nfic	10116
13134	Dach1	10090
1602	DACH1	9606
93837	Dach2	10090
117154	DACH2	9606
13170	Dbp	10090
24309	Dbp	10116
1628	DBP	9606
13172	Dbx1	10090
440097	DBX2	9606
64441	Hsf2	10116
13198	Ddit3	10090
29467	Ddit3	10116
1649	DDIT3	9606
13199	Ddn	10090
25113	Ddn	10116
23109	DDN	9606
54006	Deaf1	10090
83632	Deaf1	10116
10522	DEAF1	9606
50659	Nr2c2	10116
13390	Dlx1	10090
1745	DLX1	9606
13392	Dlx2	10090
1746	DLX2	9606
13393	Dlx3	10090
1747	DLX3	9606
13395	Dlx5	10090
25431	Dlx5	10116
13394	Dlx4	10090
1748	DLX4	9606
1749	DLX5	9606
13396	Dlx6	10090
1750	DLX6	9606
55929	DMAP1	9606
25336	Nfyb	10116
140477	Dmbx1	10090
127343	DMBX1	9606
50796	Dmrt1	10090
1761	DMRT1	9606
226049	Dmrt2	10090
10655	DMRT2	9606
240590	Dmrt3	10090
293976	Dmrt3	10116
58524	DMRT3	9606
63951	DMRTA1	9606
313352	Dmrta1	10116
242620	Dmrta2	10090
63950	DMRTA2	9606
56296	Dmrtb1	10090
71241	Dmrtc2	10090
23857	Dmtf1	10090
9988	DMTF1	9606
13418	Dnajc1	10090
64215	DNAJC1	9606
27000	DNAJC2	9606
13433	Dnmt1	10090
1786	DNMT1	9606
1788	DNMT3A	9606
13435	Dnmt3a	10090
13436	Dnmt3b	10090
444984	Dnmt3a	10116
444985	Dnmt3b	10116
1789	DNMT3B	9606
54427	Dnmt3l	10090
29947	DNMT3L	9606
116092	DNTTIP1	9606
501145	Satb2	10116
84444	DOT1L	9606
1810	DR1	9606
10589	DRAP1	9606
107751	Drgx	10090
100288687	DUX4	9606
103889	Hoxb2	10090
100288711	DUX4L9	9606
503835	DUXA	9606
25664	Pparg	10116
22873	DZIP1	9606
13555	E2f1	10090
1869	E2F1	9606
399489	E2f1	10116
242705	E2f2	10090
1870	E2F2	9606
13557	E2f3	10090
1871	E2F3	9606
291105	E2f3	10116
104394	E2f4	10090
100360427	E2f4	10116
1874	E2F4	9606
13559	E2f5	10090
1875	E2F5	9606
116651	E2f5	10116
50496	E2f6	10090
1876	E2F6	9606
52679	E2f7	10090
144455	E2F7	9606
108961	E2f8	10090
79733	E2F8	9606
1877	E4F1	9606
13560	E4f1	10090
1879	EBF1	9606
13593	Ebf3	10090
13592	Ebf2	10090
13591	Ebf1	10090
64641	EBF2	9606
253738	EBF3	9606
57593	EBF4	9606
8411	EEA1	9606
13653	Egr1	10090
1958	EGR1	9606
24330	Egr1	10116
13654	Egr2	10090
114090	Egr2	10116
1959	EGR2	9606
13655	Egr3	10090
1960	EGR3	9606
54267	Maf	10116
25148	Egr3	10116
13656	Egr4	10090
25129	Egr4	10116
1961	EGR4	9606
13661	Ehf	10090
26298	EHF	9606
13709	Elf1	10090
85424	Elf1	10116
1997	ELF1	9606
69257	Elf2	10090
1998	ELF2	9606
13710	Elf3	10090
304815	Elf3	10116
1999	ELF3	9606
56501	Elf4	10090
2000	ELF4	9606
13711	Elf5	10090
2001	ELF5	9606
13712	Elk1	10090
314436	Elk1	10116
2002	ELK1	9606
13713	Elk3	10090
2004	ELK3	9606
13714	Elk4	10090
2005	ELK4	9606
2016	EMX1	9606
13797	Emx2	10090
13796	Emx1	10090
2018	EMX2	9606
25747	Ppara	10116
13798	En1	10090
2019	EN1	9606
685360	En1	10116
13799	En2	10090
2020	EN2	9606
24333	Eno1	10116
2023	ENO1	9606
300260	Sp7	10116
13813	Eomes	10090
8320	EOMES	9606
13819	Epas1	10090
29452	Epas1	10116
2034	EPAS1	9606
13875	Erf	10090
2077	ERF	9606
292721	Erf	10116
13876	Erg	10090
170909	Erg	10116
2078	ERG	9606
29492	Notch2	10116
13982	Esr1	10090
2099	ESR1	9606
24890	Esr1	10116
13983	Esr2	10090
25149	Esr2	10116
2100	ESR2	9606
26379	Esrra	10090
293701	Esrra	10116
2101	ESRRA	9606
2103	ESRRB	9606
26380	Esrrb	10090
26381	Esrrg	10090
360896	Esrrg	10116
2104	ESRRG	9606
303398	Tbx2	10116
80712	ESX1	9606
23871	Ets1	10090
24356	Ets1	10116
2113	ETS1	9606
23872	Ets2	10090
2114	ETS2	9606
304063	Ets2	10116
14009	Etv1	10090
2115	ETV1	9606
14008	Etv2	10090
2116	ETV2	9606
27049	Etv3	10090
2117	ETV3	9606
440695	ETV3L	9606
18612	Etv4	10090
2118	ETV4	9606
360635	Etv4	10116
104156	Etv5	10090
2119	ETV5	9606
303828	Etv5	10116
14011	Etv6	10090
2120	ETV6	9606
51513	ETV7	9606
14028	Evx1	10090
2128	EVX1	9606
14029	Evx2	10090
344191	EVX2	9606
311604	Zhx3	10116
54620	FBXL19	9606
114502	Pax3	10116
368158	Rorc	10116
114712	Ferd3l	10090
246271	Fev	10116
54738	FEV	9606
73191	Fezf1	10090
389549	FEZF1	9606
55079	FEZF2	9606
54713	Fezf2	10090
26910	Figla	10090
344018	FIGLA	9606
23877	Fiz1	10090
84922	FIZ1	9606
14247	Fli1	10090
315532	Fli1	10116
2313	FLI1	9606
84256	FLYWCH1	9606
14281	Fos	10090
314322	Fos	10116
2353	FOS	9606
14282	Fosb	10090
100360880	Fosb	10116
2354	FOSB	9606
14283	Fosl1	10090
25445	Fosl1	10116
8061	FOSL1	9606
14284	Fosl2	10090
25446	Fosl2	10116
2355	FOSL2	9606
15375	Foxa1	10090
3169	FOXA1	9606
25098	Foxa1	10116
15376	Foxa2	10090
25099	Foxa2	10116
3170	FOXA2	9606
15377	Foxa3	10090
3171	FOXA3	9606
25100	Foxa3	10116
64290	Foxb1	10090
442425	FOXB2	9606
17300	Foxc1	10090
364706	Foxc1	10116
2296	FOXC1	9606
14234	Foxc2	10090
171356	Foxc2	10116
2303	FOXC2	9606
15229	Foxd1	10090
2297	FOXD1	9606
17301	Foxd2	10090
2306	FOXD2	9606
15221	Foxd3	10090
29203	Foxd3	10116
27022	FOXD3	9606
2298	FOXD4	9606
14237	Foxd4	10090
200350	FOXD4L1	9606
2304	FOXE1	9606
110805	Foxe1	10090
30923	Foxe3	10090
171302	Foxe3	10116
192274	Foxe1	10116
2301	FOXE3	9606
15227	Foxf1	10090
687536	Foxf1	10116
2294	FOXF1	9606
14238	Foxf2	10090
2295	FOXF2	9606
15228	Foxg1	10090
24370	Foxg1	10116
2290	FOXG1	9606
14106	Foxh1	10090
8928	FOXH1	9606
14233	Foxi1	10090
287185	Foxi1	10116
2299	FOXI1	9606
270004	Foxi2	10090
59327	Twist2	10116
232077	Foxi3	10090
344167	FOXI3	9606
15223	Foxj1	10090
2302	FOXJ1	9606
60611	Foxj2	10090
502886	Foxj2	10116
55810	FOXJ2	9606
230700	Foxj3	10090
22887	FOXJ3	9606
17425	Foxk1	10090
221937	FOXK1	9606
68837	Foxk2	10090
3607	FOXK2	9606
14241	Foxl1	10090
2300	FOXL1	9606
26927	Foxl2	10090
367152	Foxl2	10116
668	FOXL2	9606
14235	Foxm1	10090
2305	FOXM1	9606
15218	Foxn1	10090
8456	FOXN1	9606
3344	FOXN2	9606
71375	Foxn3	10090
1112	FOXN3	9606
116810	Foxn4	10090
121643	FOXN4	9606
56458	Foxo1	10090
84482	Foxo1	10116
2308	FOXO1	9606
2309	FOXO3	9606
56484	Foxo3	10090
54601	Foxo4	10090
302415	Foxo4	10116
4303	FOXO4	9606
