#SentenceID	Sentence	TRI	MoR	Valid?	true_TRI	true_MoR	TRI score	MoR scores	TF	TF Id	TF Symbol	TF TaxID	TF_is_incorrect	TF_correct_mention	TF offset	TG	TG Id	TG Symbol	TG TaxID	TG_is_incorrect	TG_correct_mention	Gene offset	method	stage	renormalisation	pre-post	TF_type	Other issues	Explanation
10490613:2:NF-kappaB.:IL-8	A hallmark of inflammation is the burst-like formation of certain proteins, initiated by cellular stress and proinflammatory cytokines like interleukin 1 (IL-1) and tumor necrosis factor, stimuli which simultaneously activate different mitogen-activated protein (MAP) kinases and [TF] Cooperation of these signaling pathways to induce formation of [TG], a prototype chemokine which causes leukocyte migration and activation, was investigated by expressing active and inactive forms of protein kinases.	TRI	ACTIVATION	F	Not TRI			0.008336135226008932;0.9909433236649396;0.0007205411090513394	NF-kappaB.	Complex:NFKB	NFKB	9606			464	IL-8	3576	CXCL8	9606			538	random	s1	NFKB	pre	dbTF	Splitter	
34564314:2:TP53:TP53TG1	Long non-coding RNA (lncRNA) TP53 target 1 ([TG]) was discovered as a [TF] target gene.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9971861540293339;0.001907344989949819;0.0009065009807163941	TP53	7157	TP53	9606			189	TP53TG1	11257	TP53TG1	9606			160	random	s1		pre	dbTF		
33916908:6:NRF2:EGF	ChIP sequencing data show that [TF] directly binds to the promoter of [TG], which contains a canonical antioxidant response element.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9976690286924914;0.0009276557180001853;0.0014033155895083896	NRF2	4780	NFE2L2	9606			837	EGF	1950	EGF	9606			876	random	s1		pre	dbTF		
33766982:4:Camta1:Wwtr1	In this study, we used a first of its kind approach to target the Wwtr1-[TF] gene fusion to the [TG] locus, to develop a conditional EHE mouse model whereby Wwtr1-Camta1 is controlled by the endogenous transcriptional regulators upon Cre activation.	TRI	UNDEFINED	F	Not TRI			0.9967895346957062;0.002106792154867112;0.0011036731494266047	Camta1	100072	Camta1	10090			453	Wwtr1	97064	Wwtr1	10090			479	random	s1		pre	coTF		
32972752:0:SETDB1:E-cadherin	Knockout of [TF] gene using the CRISPR/cas-9 system increases migration and transforming activities via complex regulations of [TG], beta-catenin, STAT3, and Akt.	TRI	REPRESSION	F	TRI	UNDEFINED		0.013466012393894979;0.00948309944981467;0.9770508881562904	SETDB1	9869	SETDB1	9606			12	E-cadherin	999	CDH1	9606			129	random	s1		pre	dbTF	mutation	
32958704:7:FOXC2:CDH2	Genes significantly correlated with [TF] in PDAC samples were enriched for gene sets related to epithelial-to-mesenchymal transition (EMT) and included VIM (P = 1.8e-8), CDH11 (P = 6.5e-5), and [TG] (P = 2.4e-2).	TRI	UNDEFINED	F	Not TRI			0.993513747228158;0.0045731988571424366;0.0019130539146995484	FOXC2	2303	FOXC2	9606			1420	CDH2	1000	CDH2	9606			1579	random	s1		pre	dbTF		
32795316:0:ZFPM2:GDF10	Long noncoding RNA [TF]-AS1 acts as a miRNA sponge and promotes cell invasion through regulation of miR-139/[TG] in hepatocellular carcinoma.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9895518281535034;0.00282396527971271;0.007624206566783999	ZFPM2	23414	ZFPM2	9606	NER&norm	"correct NE is ""ZFPM2-AS1"" which should be normalized to ""ZFPM2-AS1"""	19	GDF10	2662	GDF10	9606			109	random	s1		pre	dbTF		ZFPM2-AS1 is lncRNA, not protein coding; we can assume that ZFPM2-AS1 prevents expression of ZFPM2 and that, therefore the TF-TG interaction is true
32317628:0:YY1:SOCS6	Correction: miR-1260b, mediated by [TF], activates KIT signaling by targeting [TG] to regulate cell proliferation and apoptosis in NSCLC.	TRI	REPRESSION	F	TRI	UNDEFINED		0.004622926880816442;0.003303809588416704;0.992073263530767	YY1	7528	YY1	9606			35	SOCS6	9306	SOCS6	9606			77	random	s1		pre	dbTF		
32191302:9:Foxl2:FSHB	Next, we analyzed human [TG] expression in hFSHB mice carrying floxed [TF] and Smad4 alleles.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9866331072107511;0.0076154027511180005;0.005751490038130753	Foxl2	26927	Foxl2	10090			1165	FSHB	2488	FSHB	9606			1119	random	s1		pre	dbTF	mutation	
32180556:10:PREB:ABCA1	ChIP showed that [TF] could directly bind to the [TG] promoter, which was enhanced by exendin-4.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9979293735923203;0.0009864620258417626;0.0010841643818379776	PREB	50907	Preb	10090			1310	ABCA1	19	ABCA1	9606			1342	random	s1		pre	dbTF		
31332228:3:Pin1:HIF-1alpha	The prolyl isomerase [TF] plays a role in the regulation of [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9959894417132213;0.0027207202378035505;0.0012898380489751939	Pin1	5300	PIN1	9606			272	HIF-1alpha	3091	HIF1A	9606			311	random	s1		pre	dbTF		
30479372:7:KLF8:HIF-1alpha	In addition, [TF] regulated [TG] and Focal adhesion kinase (FAK) expression.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9976122341081141;0.001203518074261601;0.00118424781762427	KLF8	245671	Klf8	10090			904	HIF-1alpha	15251	Hif1a	10090			919	random	s1		pre	dbTF		
30321081:8:MYB:SND1	Moreover, [TF] (MYB proto-oncogene, transcription factor) may be involved in the regulation of [TG] in UCA1 expression.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9979572292338489;0.0011893498336394942;0.0008534209325116209	MYB	4602	MYB	9606			1185	SND1	27044	SND1	9606			1269	random	s1		pre	dbTF		
30119212:11:STAT3:Cyclin D1	The expression of downstream targets of JAK2/[TF] signaling, [TG], Bcl-2 and survivin, was also decreased in CKAP2 knockdown cells.	TRI	ACTIVATION	F	TRI	UNDEFINED		0.4694985761701722;0.5252547002803846;0.005246723549443295	STAT3	6774	STAT3	9606			1382	Cyclin D1	595	CCND1	9606			1399	random	s1		pre	dbTF		
29908368:14:SREBP1:SREBP2	Interestingly, [TF] knockdown also dropped [TG], indicating a modulatory action between both isoforms.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0028273462107628626;0.9861178671920439;0.01105478659719321	SREBP1	6720	SREBF1	9606			1340	SREBP2	6721	SREBF2	9606			1370	random	s1		pre	dbTF	mutation	perturbed TF; TF knowckdown dropped TG
