#: :filename=/home/mvazque2/.rbbt/tmp/tmp-337667186.1761_TFs#:type=:double
#Associated.Gene.Name	TF_type
ABHD2	dbTF
ADNP	dbTF
ADNP2	dbTF
AEBP1	dbTF
AEBP2	dbTF
AFF1	dbTF
AFF3	dbTF
AHDC1	dbTF
AHR	dbTF
AHRR	dbTF
AIRE	dbTF
ALX1	dbTF
ALX3	dbTF
ALX4	dbTF
ANHX	dbTF
AR	dbTF
Arap1	dbTF
ARGFX	dbTF
ARID2	dbTF
ARID3A	dbTF
ARID3B	dbTF
ARID3C	dbTF
ARID5A	dbTF
ARID5B	dbTF
ARNT	dbTF
ARNT2	dbTF
ARNTL	dbTF
ARNTL2	dbTF
ARX	dbTF
ASCL1	dbTF
ASCL2	dbTF
ASCL3	dbTF
ASCL4	dbTF
ASCL5	dbTF
ATF1	dbTF
ATF2	dbTF
ATF3	dbTF
ATF4	dbTF
ATF5	dbTF
ATF6	dbTF
ATF6B	dbTF
ATF7	dbTF
ATMIN	dbTF
ATOH1	dbTF
ATOH7	dbTF
ATOH8	dbTF
BACH1	dbTF
BACH2	dbTF
BARHL1	dbTF
BARHL2	dbTF
BARX1	dbTF
BARX2	dbTF
BATF	dbTF
BATF2	dbTF
BATF3	dbTF
BBX	dbTF
BCL11A	dbTF
BCL11B	dbTF
BCL6	dbTF
BCL6B	dbTF
BHLHA15	dbTF
BHLHA9	dbTF
BHLHE22	dbTF
BHLHE23	dbTF
BHLHE40	dbTF
BHLHE41	dbTF
BMAL1	dbTF
BMAL2	dbTF
BNC1	dbTF
BNC2	dbTF
BRCA1	dbTF
BSX	dbTF
CARF	dbTF
CASZ1	dbTF
CC2D1A	dbTF
CC2D1B	dbTF
CDC5L	dbTF
CDX1	dbTF
CDX2	dbTF
CDX4	dbTF
CEBPA	dbTF
CEBPB	dbTF
CEBPD	dbTF
CEBPE	dbTF
CEBPG	dbTF
CIAO1	dbTF
CIC	dbTF
CLOCK	dbTF
CPHXL	dbTF
CPHXL2	dbTF
CREB1	dbTF
CREB3	dbTF
CREB3L1	dbTF
CREB3L2	dbTF
CREB3L3	dbTF
CREB3L4	dbTF
CREB5	dbTF
CREBL2	dbTF
CREBRF	dbTF
CREBZF	dbTF
CREM	dbTF
CRX	dbTF
Csprs	dbTF
CSRNP1	dbTF
CSRNP2	dbTF
CSRNP3	dbTF
CTCF	dbTF
CTCFL	dbTF
CUX1	dbTF
CUX2	dbTF
CXXC1	dbTF
DACH1	dbTF
DACH2	dbTF
DBP	dbTF
DBX1	dbTF
DBX2	dbTF
DDIT3	dbTF
DDN	dbTF
DEAF1	dbTF
DLX1	dbTF
DLX2	dbTF
DLX3	dbTF
DLX4	dbTF
DLX5	dbTF
DLX6	dbTF
DMBX1	dbTF
DMRT1	dbTF
DMRT2	dbTF
DMRT3	dbTF
DMRTA1	dbTF
DMRTA2	dbTF
DMRTB1	dbTF
DMRTC1	dbTF
DMRTC1B	dbTF
DMRTC2	dbTF
DMTF1	dbTF
DNMT1	dbTF
DPRX	dbTF
DRGX	dbTF
DUX1	dbTF
DUX3	dbTF
DUX4	dbTF
DUX4L2	dbTF
DUX4L3	dbTF
DUX4L4	dbTF
DUX4L5	dbTF
DUX4L6	dbTF
DUX4L7	dbTF
DUX4L9	dbTF
DUX5	dbTF
DUXA	dbTF
DUXB	dbTF
E2F1	dbTF
E2F2	dbTF
E2F3	dbTF
E2F4	dbTF
E2F5	dbTF
E2F6	dbTF
E2F7	dbTF
E2F8	dbTF
E4F1	dbTF
EBF1	dbTF
EBF2	dbTF
EBF3	dbTF
EBF4	dbTF
Ecsit	dbTF
EGR1	dbTF
EGR2	dbTF
EGR3	dbTF
EGR4	dbTF
EHF	dbTF
ELF1	dbTF
ELF2	dbTF
ELF3	dbTF
ELF4	dbTF
ELF5	dbTF
ELK1	dbTF
ELK3	dbTF
ELK4	dbTF
EMX1	dbTF
EMX2	dbTF
EN1	dbTF
EN2	dbTF
ENO1	dbTF
EOMES	dbTF
EPAS1	dbTF
ERF	dbTF
ERFL	dbTF
ERG	dbTF
ESR1	dbTF
ESR2	dbTF
ESRRA	dbTF
ESRRB	dbTF
ESRRG	dbTF
ESX1	dbTF
ETS1	dbTF
ETS2	dbTF
ETV1	dbTF
ETV2	dbTF
ETV3	dbTF
ETV3L	dbTF
ETV4	dbTF
ETV5	dbTF
ETV6	dbTF
ETV7	dbTF
EVX1	dbTF
EVX2	dbTF
FERD3L	dbTF
FEV	dbTF
FEZF1	dbTF
FEZF2	dbTF
FIGLA	dbTF
FIZ1	dbTF
FLI1	dbTF
FOS	dbTF
FOSB	dbTF
FOSL1	dbTF
FOSL2	dbTF
FOXA1	dbTF
FOXA2	dbTF
FOXA3	dbTF
FOXB1	dbTF
FOXB2	dbTF
FOXC1	dbTF
FOXC2	dbTF
FOXD1	dbTF
FOXD2	dbTF
FOXD3	dbTF
FOXD4	dbTF
FOXD4L1	dbTF
FOXD4L3	dbTF
FOXD4L4	dbTF
FOXD4L5	dbTF
FOXD4L6	dbTF
FOXE1	dbTF
FOXE3	dbTF
FOXF1	dbTF
FOXF2	dbTF
FOXG1	dbTF
FOXH1	dbTF
FOXI1	dbTF
FOXI2	dbTF
FOXI3	dbTF
FOXJ1	dbTF
FOXJ2	dbTF
FOXJ3	dbTF
FOXK1	dbTF
FOXK2	dbTF
FOXL1	dbTF
FOXL2	dbTF
FOXL3	dbTF
FOXM1	dbTF
FOXN1	dbTF
FOXN2	dbTF
FOXN3	dbTF
FOXN4	dbTF
FOXO1	dbTF
FOXO3	dbTF
FOXO3B	dbTF
FOXO4	dbTF
FOXO6	dbTF
FOXP1	dbTF
FOXP2	dbTF
FOXP3	dbTF
FOXP4	dbTF
FOXQ1	dbTF
FOXR1	dbTF
FOXR2	dbTF
FOXS1	dbTF
GABPA	dbTF
GATA1	dbTF
GATA2	dbTF
GATA3	dbTF
GATA4	dbTF
GATA5	dbTF
GATA6	dbTF
GATAD2A	dbTF
GATAD2B	dbTF
GBX1	dbTF
GBX2	dbTF
GCM1	dbTF
GCM2	dbTF
GFI1	dbTF
GFI1B	dbTF
GLI1	dbTF
GLI2	dbTF
GLI3	dbTF
GLI4	dbTF
GLIS1	dbTF
GLIS2	dbTF
GLIS3	dbTF
GMEB1	dbTF
GMEB2	dbTF
GPBP1	dbTF
GPER1	dbTF
GRHL1	dbTF
GRHL2	dbTF
GRHL3	dbTF
GSC	dbTF
GSC2	dbTF
GSX1	dbTF
GSX2	dbTF
GTF2I	dbTF
GTF2IRD1	dbTF
GTF2IRD2	dbTF
GTF2IRD2B	dbTF
GTF3A	dbTF
GZF1	dbTF
HAND1	dbTF
HAND2	dbTF
HBP1	dbTF
HDAC5	dbTF
HDGF	dbTF
HDX	dbTF
HELT	dbTF
HES1	dbTF
HES2	dbTF
HES3	dbTF
HES4	dbTF
HES5	dbTF
HES6	dbTF
HES7	dbTF
HESX1	dbTF
HEY1	dbTF
HEY2	dbTF
HEYL	dbTF
HHEX	dbTF
HIC1	dbTF
HIC2	dbTF
HIF1A	dbTF
HIF3A	dbTF
HINFP	dbTF
HIVEP1	dbTF
HIVEP2	dbTF
HIVEP3	dbTF
HLF	dbTF
HLX	dbTF
HMBOX1	dbTF
HMG20A	dbTF
HMG20B	dbTF
HMGA1	dbTF
HMGA2	dbTF
HMX1	dbTF
HMX2	dbTF
HMX3	dbTF
HNF1A	dbTF
HNF1B	dbTF
HNF4A	dbTF
HNF4G	dbTF
HOMEZ	dbTF
HOXA1	dbTF
HOXA10	dbTF
HOXA11	dbTF
HOXA13	dbTF
HOXA2	dbTF
HOXA3	dbTF
HOXA4	dbTF
HOXA5	dbTF
HOXA6	dbTF
HOXA7	dbTF
HOXA9	dbTF
HOXB1	dbTF
HOXB13	dbTF
HOXB2	dbTF
HOXB3	dbTF
HOXB4	dbTF
HOXB5	dbTF
HOXB6	dbTF
HOXB7	dbTF
HOXB8	dbTF
HOXB9	dbTF
HOXC10	dbTF
HOXC11	dbTF
HOXC12	dbTF
HOXC13	dbTF
HOXC4	dbTF
HOXC5	dbTF
HOXC6	dbTF
HOXC8	dbTF
HOXC9	dbTF
HOXD1	dbTF
HOXD10	dbTF
HOXD11	dbTF
HOXD12	dbTF
HOXD13	dbTF
HOXD3	dbTF
HOXD4	dbTF
HOXD8	dbTF
HOXD9	dbTF
HSF1	dbTF
HSF2	dbTF
Hsf3	dbTF
HSF4	dbTF
HSF5	dbTF
HSFX1	dbTF
HSFX3	dbTF
HSFX4	dbTF
HSFY1	dbTF
IKZF1	dbTF
IKZF2	dbTF
IKZF3	dbTF
IKZF4	dbTF
IKZF5	dbTF
ILF3	dbTF
INSM1	dbTF
INSM2	dbTF
IRF1	dbTF
IRF2	dbTF
IRF3	dbTF
IRF4	dbTF
IRF5	dbTF
IRF6	dbTF
IRF7	dbTF
IRF8	dbTF
IRF9	dbTF
IRX1	dbTF
IRX2	dbTF
IRX3	dbTF
IRX4	dbTF
IRX5	dbTF
IRX6	dbTF
ISL1	dbTF
ISL2	dbTF
ISX	dbTF
JDP2	dbTF
JPH2	dbTF
JUN	dbTF
JUNB	dbTF
JUND	dbTF
KAT7	dbTF
KCNIP3	dbTF
KDM2A	dbTF
KDM5B	dbTF
KLF1	dbTF
KLF10	dbTF
KLF11	dbTF
KLF12	dbTF
KLF13	dbTF
KLF14	dbTF
KLF15	dbTF
KLF16	dbTF
KLF17	dbTF
KLF18	dbTF
KLF2	dbTF
KLF3	dbTF
KLF4	dbTF
KLF5	dbTF
KLF6	dbTF
KLF7	dbTF
KLF8	dbTF
KLF9	dbTF
KMT2A	dbTF
KMT2B	dbTF
KMT2D	dbTF
L3MBTL1	dbTF
LBX1	dbTF
LBX2	dbTF
LEF1	dbTF
LEUTX	dbTF
LHX1	dbTF
LHX2	dbTF
LHX3	dbTF
LHX4	dbTF
LHX5	dbTF
LHX6	dbTF
LHX8	dbTF
LHX9	dbTF
LITAF	dbTF
LMX1A	dbTF
LMX1B	dbTF
LRRFIP1	dbTF
LYL1	dbTF
MAF	dbTF
MAFA	dbTF
MAFB	dbTF
