	#TRI	Valid	Sign	Negation	QC	Comment	Source file	Sentence	TF	TG
476	17942419:6:BACH1:TXNRD1	TRUE		TRUE	TRUE	"---{""tf associated gene name"":[""BACH1""],""tg associated gene name"":[""TXNRD1""],""tf text"":[""BACH1""],""tg text"":[""TXNRD1""],""1"":[""u""],""negation"":[""x""],""not true"":[],""comment"":[],""sentence"":[""In contrast"",""thioredoxin reductase 1 (TXNRD1) is regulated by NRF2 bu"	validation_sample_lowscore_290317.tsv|curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx|Consensus_280717_extended_data_v3.xlsx - consensus.tsv|AGS_24h_transcriptome_QCed_curation_sept21_corrected_280921.xlsx|AGS_24h_transcriptome_QCed_curation_sept21.xlsx	In contrast, thioredoxin reductase 1 ([TG]) is regulated by NRF2 but not by [TF].	BACH1	TXNRD1
3693	11743638:7:CDX2:PCNA	TRUE	+	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""CDX2""],""target gene (associated gene name)"":[""PCNA""],""ev"":[""a""],""negation"":[""x""],""is fusion"":[],""sentence"":[""Cotransfection experiments"",""using human PCNA reporter plasmid and CDX1 and CDX2 expression pl"	Curated_TRI-sentences_round2_compiled_090521.xlsx|Consensus_for_Miguel_080921.xlsx	Cotransfection experiments, using human PCNA reporter plasmid and CDX1 and CDX2 expression plasmids, showed that CDX1 transactivates human [TG] gene promoter activity in hepatocellular cell line (HepG2) and colorectal carcinoma cell lines (Colo320HSR and HCT116), while [TF] does not.	CDX2	PCNA
4073	12559945:4:CDX1:MUC2	TRUE	+	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""CDX1""],""target gene (associated gene name)"":[""MUC2""],""is tf-tf-fusion"":[],""evaluation"":[""a""],""negation"":[""x""],""sentence"":[""The CDX2 expression construct activated the MUC2 promoter and increased the endo"	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	The CDX2 expression construct activated the [TG] promoter and increased the endogenous MUC2 mRNA level, while the [TF] one did not.	CDX1	MUC2
4074	12559945:6:CDX1:MUC2	TRUE	+	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""CDX1""],""target gene (associated gene name)"":[""MUC2""],""is tf-tf-fusion"":[],""evaluation"":[""a""],""negation"":[""x""],""sentence"":[""These results suggest that CDX2"",""but not CDX1"",""interacts with the MUC2 promote"	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	These results suggest that CDX2, but not [TF], interacts with the [TG] promoter and activates MUC2 transcription, and plays an important role in the differentiation of goblet cells.	CDX1	MUC2
4243	12857727:7:USF1:IGF2R	TRUE	+	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""USF1""],""target gene (associated gene name)"":[""IGF2R""],""is tf-tf-fusion"":[],""evaluation"":[""a""],""negation"":[""x""],""sentence"":[""Overexpressed USF2"",""but not USF1"",""transactivated the IGF2R promoter"",""and IGF"	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	Overexpressed USF2, but not [TF], transactivated the [TG] promoter, and IGF2R mRNA was markedly decreased by expression of a USF-specific dominant negative mutant, identifying IGF2R as a USF2 target.	USF1	IGF2R
4361	14576336:6:NEUROG3:NEUROG3	TRUE	-	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""NEUROG3""],""target gene (associated gene name)"":[""NEUROG3""],""ev"":[""r""],""negation"":[],""is fusion"":[],""sentence"":[""This hypothesis was supported by the lack of evidence for significant intrinsic transcripti"	Curated_TRI-sentences_round2_compiled_090521.xlsx|Consensus_for_Miguel_080921.xlsx	This hypothesis was supported by the lack of evidence for significant intrinsic transcriptional repression capacity in the [TF] protein, and by the ability of isolated DNA-binding basic helix-loop-helix domains to repress the [TG] promoter.	NEUROG3	NEUROG3
4748	15337762:6:VDR:PHEX	TRUE		TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""VDR""],""target gene (associated gene name)"":[""PHEX""],""is tf-tf-fusion"":[],""evaluation"":[""v""],""negation"":[""x""],""sentence"":[""Because 1"",""25(OH)2D3-liganded VDR neither binds to the polyadenine region of the"	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	Because 1,25(OH)2D3-liganded [TF] neither binds to the polyadenine region of the PHEX promoter nor directly influences the association of the 110 kDa transfactor, we conclude that 1,25(OH)2D3 indirectly decreases [TG] expression via VDR-mediated repression (or modification) of this novel transactivator.	VDR	PHEX
7926	20125105:7:FOXO1:ADIPOR2	TRUE	+	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""FOXO1""],""target gene (associated gene name)"":[""ADIPOR2""],""is tf-tf-fusion"":[],""evaluation"":[""a""],""negation"":[""x""],""sentence"":[""FOXO1 enhanced transcription from the ADIPOR1"",""but not the ADIPOR2 promoter"	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	[TF] enhanced transcription from the ADIPOR1, but not the [TG] promoter in HepG2 cells.	FOXO1	ADIPOR2
7927	20125105:9:FOXO1:ADIPOR2	TRUE	+	TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""FOXO1""],""target gene (associated gene name)"":[""ADIPOR2""],""is tf-tf-fusion"":[],""evaluation"":[""a""],""negation"":[""x""],""sentence"":[""FOXO1 may contribute to enhanced ADIPOR1"",""but not ADIPOR2 transcription in "	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	[TF] may contribute to enhanced ADIPOR1, but not [TG] transcription in IR.	FOXO1	ADIPOR2
8912	21683813:6:ATF4:DKK1	TRUE		TRUE	TRUE	"---{""transcription factor (associated gene name)"":[""ATF4""],""target gene (associated gene name)"":[""DKK1""],""is tf-tf-fusion"":[],""evaluation"":[""v""],""negation"":[],""sentence"":[""Although chromatin immunoprecipitation assays showed increased RNA Polymerase II bi"	curated_sentences_compiled_270121.xlsx|Consensus_for_Miguel_080921.xlsx	Although chromatin immunoprecipitation assays showed increased RNA Polymerase II binding at the [TG] promoter in amino acid-limited conditions, [TF] binding to the promoter is absent.	ATF4	DKK1
