GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A087WUV0	ZNF892	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001225435|UniProtKB:P35789|UniProtKB:P52738|UniProtKB:Q86Y25|UniProtKB:Q96RE9	9606	GO_Central		F
UniProtKB	A0A087WUV0	ZNF892	enables	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027761	9606	UniProt		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q06413	10116	UniProt		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011656|MGI:MGI:104526|MGI:MGI:99458|MGI:MGI:99532|MGI:MGI:99533|PANTHER:PTN000235373|PomBase:SPBC19G7.06|RGD:1359360|RGD:1563119|SGD:S000006010|TAIR:locus:2005522|UniProtKB:Q02078|UniProtKB:Q02080|UniProtKB:Q06413|UniProtKB:Q14814	10116	GO_Central		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:99458	10116	RGD		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q06413	10116	RGD		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029016	10116	UniProt		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:19654000		10116	RGD		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q06413	10116	UniProt		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:99458	10116	RGD		F
