GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A1W2PP81	TAF11L5	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PPE2	TAF11L4	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PPH5	TAF11L13	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PPL8	TAF11L14	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PPW3	TAF11L12	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PQ09	TAF11L11	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PR64	TAF11L9	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0A1W2PRV1	TAF11L3	contributes_to	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119	9606	GO_Central		F
UniProtKB	A0JN27	Gtf2h2	enables	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q6P1K8	10116	RGD		F
UniProtKB	A0JPP1	Drap1	enables	GO:0016251	RNA polymerase II general transcription initiation factor activity	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000028883|UniProtKB:Q14919	10116	GO_Central		F
