NCBI ID	NCBI Symbol	TaxID	likely
25	ABL1	9606	less likely
60	ACTB	9606	less likely
81	ACTN4	9606	less likely
86	ACTL6A	9606	less likely
87	ACTN1	9606	less likely
88	ACTN2	9606	less likely
90	ACVR1	9606	less likely
91	ACVR1B	9606	less likely
94	ACVRL1	9606	less likely
118	ADD1	9606	likely
142	PARP1	9606	likely
154	ADRB2	9606	less likely
166	TLE5	9606	likely
207	AKT1	9606	less likely
208	AKT2	9606	less likely
307	ANXA4	9606	likely
322	APBB1	9606	likely
328	APEX1	9606	likely
329	BIRC2	9606	likely
331	XIAP	9606	likely
332	BIRC5	9606	likely
339	APOBEC1	9606	likely
387	RHOA	9606	less likely
394	ARHGAP5	9606	less likely
408	ARRB1	9606	likely
409	ARRB2	9606	likely
434	ASIP	9606	likely
472	ATM	9606	likely
545	ATR	9606	likely
573	BAG1	9606	likely
582	BBS1	9606	likely
583	BBS2	9606	likely
585	BBS4	9606	likely
595	CCND1	9606	likely
596	BCL2	9606	likely
605	BCL7A	9606	likely
607	BCL9	9606	likely
641	BLM	9606	likely
648	BMI1	9606	likely
657	BMPR1A	9606	less likely
658	BMPR1B	9606	less likely
675	BRCA2	9606	likely
676	BRDT	9606	likely
677	ZFP36L1	9606	likely
689	BTF3	9606	likely
694	BTG1	9606	likely
695	BTK	9606	less likely
699	BUB1	9606	less likely
708	C1QBP	9606	likely
753	LDLRAD4	9606	likely
754	PTTG1IP	9606	likely
811	CALR	9606	likely
814	CAMK4	9606	less likely
815	CAMK2A	9606	less likely
817	CAMK2D	9606	less likely
862	RUNX1T1	9606	likely
863	CBFA2T3	9606	likely
865	CBFB	9606	likely
867	CBL	9606	likely
890	CCNA2	9606	likely
892	CCNC	9606	likely
898	CCNE1	9606	likely
904	CCNT1	9606	likely
905	CCNT2	9606	likely
915	CD3D	9606	less likely
947	CD34	9606	less likely
983	CDK1	9606	likely
984	CDK11B	9606	likely
990	CDC6	9606	likely
1017	CDK2	9606	likely
1020	CDK5	9606	likely
1022	CDK7	9606	likely
1024	CDK8	9606	likely
1025	CDK9	9606	likely
1027	CDKN1B	9606	likely
1028	CDKN1C	9606	likely
1029	CDKN2A	9606	likely
1030	CDKN2B	9606	likely
1063	CENPF	9606	likely
1104	RCC1	9606	likely
1105	CHD1	9606	likely
1106	CHD2	9606	likely
1107	CHD3	9606	likely
1108	CHD4	9606	likely
1111	CHEK1	9606	likely
1147	CHUK	9606	likely
1149	CIDEA	9606	likely
1163	CKS1B	9606	likely
1164	CKS2	9606	likely
1191	CLU	9606	less likely
1263	PLK3	9606	likely
1278	COL1A2	9606	less likely
1281	COL3A1	9606	less likely
1290	COL5A2	9606	less likely
1382	CRABP2	9606	likely
1387	CREBBP	9606	likely
1398	CRK	9606	likely
1399	CRKL	9606	likely
1407	CRY1	9606	likely
1408	CRY2	9606	likely
1428	CRYM	9606	likely
1432	MAPK14	9606	less likely
1457	CSNK2A1	9606	likely
1459	CSNK2A2	9606	likely
1460	CSNK2B	9606	likely
1487	CTBP1	9606	likely
1488	CTBP2	9606	likely
1491	CTH	9606	likely
1499	CTNNB1	9606	likely
1500	CTNND1	9606	likely
1501	CTNND2	9606	likely
1514	CTSL	9606	likely
1601	DAB2	9606	likely
1609	DGKQ	9606	likely
1613	DAPK3	9606	likely
1616	DAXX	9606	likely
1630	DCC	9606	likely
1642	DDB1	9606	likely
1653	DDX1	9606	likely
1654	DDX3X	9606	likely
1655	DDX5	9606	likely
1660	DHX9	9606	likely
1663	DDX11	9606	likely
1719	DHFR	9606	likely
1785	DNM2	9606	less likely
1811	SLC26A3	9606	less likely
1822	ATN1	9606	likely
1826	DSCAM	9606	likely
1840	DTX1	9606	likely
1855	DVL1	9606	likely
1856	DVL2	9606	likely
1857	DVL3	9606	likely
1859	DYRK1A	9606	likely
1911	PHC1	9606	likely
1912	PHC2	9606	likely
1915	EEF1A1	9606	less likely
1954	MEGF8	9606	less likely
1956	EGFR	9606	less likely
1977	EIF4E	9606	less likely
1991	ELANE	9606	less likely
2022	ENG	9606	less likely
2033	EP300	9606	likely
2064	ERBB2	9606	less likely
2066	ERBB4	9606	less likely
2067	ERCC1	9606	likely
2068	ERCC2	9606	likely
2070	EYA4	9606	likely
2071	ERCC3	9606	likely
2072	ERCC4	9606	likely
2073	ERCC5	9606	likely
2074	ERCC6	9606	likely
2081	ERN1	9606	less likely
2091	FBL	9606	likely
2130	EWSR1	9606	likely
2138	EYA1	9606	likely
2139	EYA2	9606	likely
2140	EYA3	9606	likely
2145	EZH1	9606	likely
2146	EZH2	9606	likely
2167	FABP4	9606	likely
2177	FANCD2	9606	likely
2203	FBP1	9606	less likely
2241	FER	9606	less likely
2246	FGF1	9606	less likely
2247	FGF2	9606	less likely
2260	FGFR1	9606	less likely
2263	FGFR2	9606	less likely
2272	FHIT	9606	likely
2274	FHL2	9606	likely
2275	FHL3	9606	likely
2280	FKBP1A	9606	likely
2288	FKBP4	9606	likely
2314	FLII	9606	likely
2316	FLNA	9606	likely
2322	FLT3	9606	less likely
2332	FMR1	9606	likely
2444	FRK	9606	less likely
2475	MTOR	9606	less likely
2491	CENPI	9606	likely
2521	FUS	9606	likely
2547	XRCC6	9606	likely
2648	KAT2A	9606	likely
2874	GPS2	9606	likely
2876	GPX1	9606	likely
2879	GPX4	9606	likely
2931	GSK3A	9606	less likely
2932	GSK3B	9606	less likely
2956	MSH6	9606	likely
2965	GTF2H1	9606	likely
3005	H1-0	9606	likely
3006	H1-2	9606	likely
3007	H1-3	9606	likely
3008	H1-4	9606	likely
3009	H1-5	9606	likely
3010	H1-6	9606	likely
3012	H2AC8	9606	likely
3013	H2AC7	9606	likely
3014	H2AX	9606	likely
3015	H2AZ1	9606	likely
3018	H2BC3	9606	likely
3020	H3-3A	9606	likely
3021	H3-3B	9606	likely
3024	H1-1	9606	likely
3054	HCFC1	9606	likely
3055	HCK	9606	likely
3059	HCLS1	9606	likely
3064	HTT	9606	less likely
3065	HDAC1	9606	likely
3066	HDAC2	9606	likely
3070	HELLS	9606	likely
3084	NRG1	9606	less likely
3092	HIP1	9606	likely
3094	HINT1	9606	likely
3146	HMGB1	9606	likely
3148	HMGB2	9606	likely
3149	HMGB3	9606	likely
3150	HMGN1	9606	likely
3151	HMGN2	9606	likely
3162	HMOX1	9606	less likely
3181	HNRNPA2B1	9606	likely
3182	HNRNPAB	9606	likely
3183	HNRNPC	9606	likely
3184	HNRNPD	9606	likely
3190	HNRNPK	9606	likely
3192	HNRNPU	9606	likely
3265	HRAS	9606	less likely
3275	PRMT2	9606	likely
3276	PRMT1	9606	likely
3281	HSBP1	9606	likely
3301	DNAJA1	9606	likely
3303	HSPA1A	9606	likely
3304	HSPA1B	9606	likely
3309	HSPA5	9606	likely
3312	HSPA8	9606	likely
3315	HSPB1	9606	likely
3329	HSPD1	9606	likely
3337	DNAJB1	9606	likely
3428	IFI16	9606	likely
3429	IFI27	9606	likely
3475	IFRD1	9606	likely
3481	IGF2	9606	less likely
3508	IGHMBP2	9606	likely
3551	IKBKB	9606	likely
3603	IL16	9606	less likely
3608	ILF2	9606	likely
3611	ILK	9606	less likely
3621	ING1	9606	likely
3622	ING2	9606	likely
3643	INSR	9606	less likely
3654	IRAK1	9606	likely
3656	IRAK2	9606	likely
3717	JAK2	9606	likely
3728	JUP	9606	likely
3965	LGALS9	9606	likely
4000	LMNA	9606	likely
4001	LMNB1	9606	likely
4004	LMO1	9606	likely
4005	LMO2	9606	likely
4017	LOXL2	9606	likely
4100	MAGEA1	9606	likely
4101	MAGEA2	9606	likely
4117	MAK	9606	likely
4171	MCM2	9606	likely
4188	MDFI	9606	likely
4193	MDM2	9606	likely
4194	MDM4	9606	likely
4261	CIITA	9606	likely
4287	ATXN3	9606	likely
4294	MAP3K10	9606	less likely
4298	MLLT1	9606	likely
4300	MLLT3	9606	likely
4302	MLLT6	9606	likely
4331	MNAT1	9606	likely
4332	MNDA	9606	likely
4342	MOS	9606	less likely
4361	MRE11	9606	likely
4435	CITED1	9606	likely
4524	MTHFR	9606	likely
4582	MUC1	9606	likely
4591	TRIM37	9606	likely
4615	MYD88	9606	likely
4646	MYO6	9606	likely
4659	PPP1R12A	9606	less likely
4664	NAB1	9606	likely
4665	NAB2	9606	likely
4666	NACA	9606	likely
4673	NAP1L1	9606	likely
4674	NAP1L2	9606	likely
4675	NAP1L3	9606	likely
4676	NAP1L4	9606	likely
4678	NASP	9606	likely
4683	NBN	9606	likely
4690	NCK1	9606	likely
4691	NCL	9606	likely
4738	NEDD8	9606	likely
4792	NFKBIA	9606	likely
4793	NFKBIB	9606	likely
4796	TONSL	9606	likely
4798	NFRKB	9606	likely
4848	CNOT2	9606	likely
4849	CNOT3	9606	likely
4854	NOTCH3	9606	likely
4863	NPAT	9606	likely
4869	NPM1	9606	likely
4916	NTRK3	9606	less likely
4928	NUP98	9606	likely
4968	OGG1	9606	likely
4999	ORC2	9606	likely
5058	PAK1	9606	less likely
5071	PRKN	9606	likely
5074	PAWR	9606	likely
5092	PCBD1	9606	likely
5094	PCBP2	9606	likely
5111	PCNA	9606	likely
5119	CHMP1A	9606	likely
5170	PDPK1	9606	likely
5187	PER1	9606	likely
5195	PEX14	9606	likely
5204	PFDN5	9606	likely
5216	PFN1	9606	likely
5245	PHB1	9606	likely
5253	PHF2	9606	likely
5290	PIK3CA	9606	less likely
5292	PIM1	9606	less likely
5295	PIK3R1	9606	less likely
5296	PIK3R2	9606	less likely
5310	PKD1	9606	likely
5347	PLK1	9606	likely
5356	PLRG1	9606	likely
5371	PML	9606	likely
5393	EXOSC9	9606	likely
5430	POLR2A	9606	likely
5469	MED1	9606	likely
5481	PPID	9606	likely
5494	PPM1A	9606	likely
5515	PPP2CA	9606	less likely
5518	PPP2R1A	9606	less likely
5530	PPP3CA	9606	less likely
5532	PPP3CB	9606	less likely
5534	PPP3R1	9606	less likely
5562	PRKAA1	9606	less likely
5563	PRKAA2	9606	less likely
5569	PKIA	9606	less likely
5578	PRKCA	9606	less likely
5579	PRKCB	9606	less likely
5584	PRKCI	9606	less likely
5585	PKN1	9606	likely
5586	PKN2	9606	likely
5587	PRKD1	9606	less likely
5588	PRKCQ	9606	less likely
5590	PRKCZ	9606	less likely
5591	PRKDC	9606	less likely
5594	MAPK1	9606	less likely
5595	MAPK3	9606	less likely
5598	MAPK7	9606	less likely
5599	MAPK8	9606	less likely
5600	MAPK11	9606	less likely
5601	MAPK9	9606	less likely
5602	MAPK10	9606	less likely
5604	MAP2K1	9606	less likely
5605	MAP2K2	9606	less likely
5606	MAP2K3	9606	less likely
5607	MAP2K5	9606	less likely
5608	MAP2K6	9606	less likely
5610	EIF2AK2	9606	less likely
5619	PRM1	9606	likely
5621	PRNP	9606	likely
5663	PSEN1	9606	likely
5687	PSMA6	9606	likely
5700	PSMC1	9606	likely
5701	PSMC2	9606	likely
5702	PSMC3	9606	likely
5704	PSMC4	9606	likely
