NCBI ID	Name	TaxID	less likely
15108	ABL1	9606	less likely
22416	ACTB	9606	less likely
26395	ACTL6A	9606	less likely
223332	ACTL6B	9606	less likely
83561	ACTN1	9606	less likely
304157	ACTN2	9606	less likely
311165	ACTN4	9606	less likely
300837	ACVR1	9606	less likely
230673	ACVR1B	9606	less likely
282845	ACVR1C	9606	less likely
361431	ACVRL1	9606	less likely
9656	ADRB2	9606	less likely
100862075	AGAP2	9606	less likely
645425	AKT1	9606	less likely
234736	AKT2	9606	less likely
2260	ALPK3	9606	less likely
26914	ANK3	9606	less likely
83766	ARHGAP5	9606	less likely
20184	ARHGEF5	9606	less likely
8336	BMPR1A	9606	less likely
234959	BMPR1B	9606	less likely
59035	BTK	9606	less likely
28951	BUB1	9606	less likely
116685	CAMK1	9606	less likely
51720	CAMK1D	9606	less likely
115426	CAMK2A	9606	less likely
10636	CAMK2D	9606	less likely
78783	CAMK4	9606	less likely
4582	CASK	9606	less likely
214384	CD274	9606	less likely
319157	CD34	9606	less likely
58967	CD3D	9606	less likely
171506	CDC42BPA	9606	less likely
226830	CDC42BPB	9606	less likely
22631	CDC42BPG	9606	less likely
72195	CLU	9606	less likely
51366	CMTM2	9606	less likely
18751	COL1A2	9606	less likely
67956	COL3A1	9606	less likely
402569	COL5A2	9606	less likely
11142	DIRAS3	9606	less likely
51003	DLL1	9606	less likely
308473	DNM2	9606	less likely
69716	EEF1A1	9606	less likely
26413	EEF2	9606	less likely
70769	EFTUD2	9606	less likely
112885	EGFR	9606	less likely
290997	EIF2AK2	9606	less likely
6717	EIF4A3	9606	less likely
268448	EIF4E	9606	less likely
319173	ELANE	9606	less likely
204851	ENG	9606	less likely
290556	ERBB2	9606	less likely
56399	ERBB4	9606	less likely
292044	ERBIN	9606	less likely
10943	ERN1	9606	less likely
1022	EZR	9606	less likely
24472	FBP1	9606	less likely
8493	FER	9606	less likely
293615	FGF1	9606	less likely
8314	FGF11	9606	less likely
25895	FGF2	9606	less likely
26992	FGFR1	9606	less likely
596	FGFR2	9606	less likely
67238	FLT3	9606	less likely
307905	FRK	9606	less likely
12226	FSHR	9606	less likely
23137	GK	9606	less likely
230753	GK2	9606	less likely
16543	GK3	9606	less likely
28077	GNAS	9606	less likely
19356	GRIP1	9606	less likely
5092	GRM1	9606	less likely
288077	GRM2	9606	less likely
56351	GRM3	9606	less likely
63935	GRM4	9606	less likely
9734	GRM5	9606	less likely
5074	GRM6	9606	less likely
12043	GRM7	9606	less likely
503000	GRM8	9606	less likely
284428	GSK3A	9606	less likely
6045	GSK3B	9606	less likely
364534	HMOX1	9606	less likely
4524	HRAS	9606	less likely
585	HTT	9606	less likely
226691	HYAL2	9606	less likely
56532	IFT74	9606	less likely
9730	IGF2	9606	less likely
26609	IL16	9606	less likely
360531	IL34	9606	less likely
13543	ILK	9606	less likely
10933	INPP5K	9606	less likely
55206	INSR	9606	less likely
113892	LHCGR	9606	less likely
362414	MAGI2	9606	less likely
217218	MAP2K1	9606	less likely
305913	MAP2K2	9606	less likely
1654	MAP2K3	9606	less likely
69090	MAP2K5	9606	less likely
286897	MAP2K6	9606	less likely
16826	MAP3K10	9606	less likely
362844	MAP3K7	9606	less likely
9830	MAPK1	9606	less likely
365877	MAPK10	9606	less likely
22083	MAPK11	9606	less likely
223642	MAPK12	9606	less likely
66354	MAPK14	9606	less likely
363017	MAPK3	9606	less likely
23076	MAPK7	9606	less likely
680111	MAPK8	9606	less likely
1785	MAPK9	9606	less likely
4005	MAPKAPK5	9606	less likely
128966599	MOS	9606	less likely
23066	MST1	9606	less likely
100912282	MST1L	9606	less likely
9404	MTMR4	9606	less likely
86	MTOR	9606	less likely
286899	NRG1	9606	less likely
14048	NTRK3	9606	less likely
22286	OR14J1	9606	less likely
14158	PAK1	9606	less likely
54906	PAK6	9606	less likely
72068	PICALM	9606	less likely
54998	PIK3CA	9606	less likely
