entity	dimer	symbol	% unmodified	% modified	regex unmodified	regex modified
TF	NFKB	NFKB1	0.0020106605492207	0.0274070575534714	NFKB P 50, NFKB P50, NFKB SUBUNIT 1, NFKB1, NFKBP50, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN B CELLS 1, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN BCELLS 1, P105, P50	KB, NFKB, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN BCELLS, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELL, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELLS, NTKB
TF	NFKB	NFKB2	0.0004857971796774	0.0	LYT, LYT10, NFKB2, P49, P52	
TF	NFKB	RELA	0.005762094325619	0.0001619323932258	NFKB P65, NFKBP65, P65, P65 NFKB, P65 SUBUNIT OF NFKB, PHOSPHORNFKB P65, RELA, VREL RETICULOENDOTHELIOSIS VIRAL ONCOGENE HOMOLOG A	NFKB
TF	NFKB	RELB	0.0005127859118817	0.0	RELB	
TG	NFKB	NFKB1	0.0017002901288711	0.0159773294649483	EBP1, KBF1, NFKB P50, NFKB1, NFKBP50, P105, P105P50, P50, P50105	KB, NFKB, NFKB SUBUNIT, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELL, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELLS, NTKB, P50
TG	NFKB	NFKB2	0.000269887322043	0.0	NFKB 2, NFKB2, P52	
TG	NFKB	RELA	0.0045341070103231	8.096619661291411e-05	NFKB P 65, NFKB P65, NFKBP65, NFP65, P65, RELA	NFKB
TG	NFKB	RELB	0.0003373591525538	0.0	RELB	
TF	AP1	FOS	0.0051704038949461	0.0003291503805801	C FOS, CELLULAR ONCOGENE FOS, CFOS, FOS	AP1
TF	AP1	FOSB	0.0005485839676335	0.000246862785435	DELTAFOSB, FOS B, FOSB	AP1
TF	AP1	FOSL1	0.0005348693684427	0.0	FOSL1, FRA, FRA1, FRALPHA	
TF	AP1	FOSL2	0.0001782897894809	0.0	FOSL2, FRA2	
TF	AP1	JUN	0.0032777892066104	0.0022629088664883	ADAPTOR PROTEIN COMPLEX1, AP1,DEPC, CJUN, CJUNP, JUN ONCOGENE, JUN PROTOONCOGENE	AP1
TF	AP1	JUNB	0.0008777343482136	0.0011245971336487	JUN B, JUN FAMILY MEMBER B, JUNB	AP1
TF	AP1	JUND	0.0004114379757251	0.0001371459919083	JUN D, JUND	AP1
TF	AP1	QRSL1;JUNB	1.3714599190838649e-05	0.0	GATA, AP1	
TG	AP1	FOS	0.0029760680244119864	0.00024686278543509563	CFOS, FOS	AP1
TG	AP1	FOSB	0.00030172118219845025	0.0002605773846259343	DELTAFOSB, FOSB, FRA2	AP1
TG	AP1	FOSL1	0.00039772337653432076	0.0	FOSL1, FOSRELATED ANTIGEN 1, FRA1, FRALPHA	
TG	AP1	FOSL2	0.00023314818624425702	0.0	FOSL2, FOSRELATED ANTIGEN 2, FRA2	
TG	AP1	JUN	0.002249194267297538	0.002057189878625797	CJUN, CJUNAP1, JUN PROTOONCOGENE	AP1
TG	AP1	JUNB	0.0006034423643969005	0.0007817321538778029	JUN B, JUN B PROTOONCOGENE, JUNB	AP1
TG	AP1	JUND	0.00030172118219845025	0.00012343139271754782	JUN D, JUND	AP1
