entity	dimer	symbol	% unmodified	% modified	regex unmodified	regex modified
TF	NFKB	CHUK;NFKBIB	1.3860398070632588e-05	0.0	NFKB INHIBITOR IKB KINASEALPHAB	
TF	NFKB	NFKB1	0.0	0.0291622775406109		KB, NFKB, NFKB P 50, NFKB P50, NFKB SUBUNIT 1, NFKB1, NFKBP50, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN B CELLS 1, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN BCELLS, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN BCELLS 1, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELL, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELLS, NTKB, P105, P50
TF	NFKB	NFKB2	0.0004712535344015	0.0	LYT, LYT10, NFKB2, P49, P52	
TF	NFKB	NFKBIA	0.0036175638964351	2.7720796141265176e-05	I KB ALPHA, I KBALPHA, IKB ALPHA, IKBA, IKBALPHA, IKBALPHAAA, INHIBITOR OF KB IKBALPHA, INHIBITORY KBIKBALPHA, MAD3, NFKB INHIBITOR ALPHA, NFKBI, NFKBIA, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN BCELLS INHIBITORALPHA	NFKB
TF	NFKB	NFKBIB	0.0002356267672007	0.0	I KB B, IKB B, IKBB, NFKB INHIBITOR B, NFKBIB	
TF	NFKB	NFKBID	1.3860398070632588e-05	0.0	IKBNS	
TF	NFKB	NFKBIE	6.930199035316294e-05	0.0	IKBEPSILON, NFKBIE	
TF	NFKB	NFKBIZ	0.0001524643787769	0.0	IKBZETA, NFKBIZ	
TF	NFKB	REL	0.0004435327382602	0.0	CREL	
TF	NFKB	RELA	0.0057936463935244	0.0001663247768475	NFKB P65, NFKBP65, P65, P65 NFKB, P65 SUBUNIT OF NFKB, PHOSPHORNFKB P65, RELA, VREL RETICULOENDOTHELIOSIS VIRAL ONCOGENE HOMOLOG A	NFKB
TF	NFKB	RELB	0.0004989743305427	0.0	RELB	
TG	NFKB	CRELD1	1.3860398070632588e-05	0.0	CRELD1	
TG	NFKB	CRELD2	1.3860398070632588e-05	0.0	CRELD2	
TG	NFKB	KIRREL3	1.3860398070632588e-05	0.0	KIRREL3	
TG	NFKB	NFKB1	0.0	0.0162443865387813		EBP1, KB, KBF1, NFKB, NFKB P50, NFKB SUBUNIT, NFKB1, NFKBP50, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELL, NFKLIGHTCHAINENHANCER OF ACTIVATED B CELLS, NTKB, P105, P105P50, P50, P50105
TG	NFKB	NFKB2	0.0002772079614126	0.0	NFKB 2, NFKB2, P52	
TG	NFKB	NFKBIA	0.0021067805067361	1.3860398070632588e-05	I KB ALPHA, I KBALPHA, IKB ALPHA, IKBALPHA, IKBALPHADN, IKBALPHASR, MAD3, NFKB INHIBITOR ALPHA, NFKBIA, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN B CELLS INHIBITOR, ALPHA, NFKLIGHT POLYPEPTIDE GENE ENHANCER IN BCELLS INHIBITOR, ALPHA, SRIKBALPHA	NFKB
TG	NFKB	NFKBIB	8.316238842379553e-05	0.0	I KB B, IKBB	
TG	NFKB	NFKBID	1.3860398070632588e-05	0.0	IKBNS	
TG	NFKB	NFKBIE	6.930199035316294e-05	0.0	I KB EPSILON, IKBEPSILON, NFKBIE	
TG	NFKB	NFKBIZ	5.544159228253035e-05	0.0	IKBZETA	
TG	NFKB	PRELID1	1.3860398070632588e-05	0.0	PRELI	
TG	NFKB	PRELID3B	1.3860398070632588e-05	0.0	SLMO2	
TG	NFKB	PRELP	2.7720796141265176e-05	0.0	PRELP	
TG	NFKB	REL	0.0003326495536951	0.0	CREL	
TG	NFKB	RELA	0.0046155125575206	8.316238842379553e-05	NFKB P 65, NFKB P65, NFKBP65, NFP65, P65, RELA	NFKB
TG	NFKB	RELB	0.0003465099517658	0.0	RELB	
