Gene_ID	human_gene_ID	TaxID	gene_symbol	human_gene_symbol	unique_human_gene_ID	unique_human_gene_symbol	HGNC_ID	unique_HGNC_ID
100009600	100125288	10090	Zglp1	ZGLP1	100125288	ZGLP1	HGNC:37245	HGNC:37245
100033459	None	10090	Ifi208	None	None	None	None	None
100037258	5611	10090	Dnajc3	DNAJC3	5611	DNAJC3	HGNC:9439	HGNC:9439
100038347	400451	10090	Fam174b	FAM174B	400451	FAM174B	HGNC:34339	HGNC:34339
100038862	None	10090	Btnl1	None	None	None	None	None
100038882	9636	10090	Isg15	ISG15	9636	ISG15	HGNC:4053	HGNC:4053
100039672	692094	10090	Msmp	MSMP	692094	MSMP	HGNC:29663	HGNC:29663
100039691	None	10090	Lncenc1	None	None	None	None	None
100040591	3769	10090	Kcnj13	KCNJ13	3769	KCNJ13	HGNC:6259	HGNC:6259
100040724	None	10090	Mirg	None	None	None	None	None
100040843	57834;1579;66002;284541	10090	Cyp4a32	CYP4F11;CYP4A11;CYP4F12;CYP4A22	1579	CYP4A11	HGNC:13265;HGNC:2642;HGNC:18857;HGNC:20575	HGNC:2642
100042150	9542	10090	Nrg2	NRG2	9542	NRG2	HGNC:7998	HGNC:7998
100042498	None	10090	Mir22hg	None	None	None	None	None
100043034	80778	10090	Rex2	ZNF34	80778	ZNF34	HGNC:13098	HGNC:13098
100043194	6822	10090	Sult2a2	SULT2A1	6822	SULT2A1	HGNC:11458	HGNC:11458
100043314	201633	10090	Tigit	TIGIT	201633	TIGIT	HGNC:26838	HGNC:26838
100043407	None	10090	Gm4419	None	None	None	None	None
100043597	10847	10090	Srcap	SRCAP	10847	SRCAP	HGNC:16974	HGNC:16974
100043899	140902	10090	R3hdml	R3HDML	140902	R3HDML	HGNC:16249	HGNC:16249
100043902	None	10090	Six3os1	None	None	None	None	None
100044509	100507588	10090	Tgfbr3l	TGFBR3L	100507588	TGFBR3L	HGNC:44152	HGNC:44152
100049583	11277	10116	Trex1	TREX1	11277	TREX1	HGNC:12269	HGNC:12269
100049710	None	10090	Mir290a	None	None	None	None	None
100049713	None	10090	Mir295	None	None	None	None	None
100066	None	10090	Cyp2j11	None	None	None	None	None
100072	23261	10090	Camta1	CAMTA1	23261	CAMTA1	HGNC:18806	HGNC:18806
100073351	404281	10090	Yy2	YY2	404281	YY2	HGNC:31684	HGNC:31684
100102	255738	10090	Pcsk9	PCSK9	255738	PCSK9	HGNC:20001	HGNC:20001
100124431	None	10090	Mir18b	None	None	None	None	None
100124432	574455	10090	Mir193b	MIR193B	574455	MIR193B	HGNC:32087	HGNC:32087
100124433	100126336	10090	Mir208b	MIR208B	100126336	MIR208B	HGNC:33669	HGNC:33669
100124451	None	10090	Mir574	None	None	None	None	None
100124469	None	10090	Mir875	None	None	None	None	None
100124470	None	10090	Mir92b	None	None	None	None	None
100124475	None	10090	Mir466f-3	None	None	None	None	None
100124481	None	10090	Mir190b	None	None	None	None	None
100124491	100126343	10090	Mir874	MIR874	100126343	MIR874	HGNC:33643	HGNC:33643
100124494	None	10090	Mir421	None	None	None	None	None
100126824	9997	10090	Sco2	SCO2	9997	SCO2	HGNC:10604	HGNC:10604
100169	65979	10090	Phactr4	PHACTR4	65979	PHACTR4	HGNC:25793	HGNC:25793
100182	80709	10090	Akna	AKNA	80709	AKNA	HGNC:24108	HGNC:24108
100189605	None	10090	Mup19	None	None	None	None	None
100226	23673	10090	Stx12	STX12	23673	STX12	HGNC:11430	HGNC:11430
100301568	28	10116	Abo	ABO	28	ABO	HGNC:79	HGNC:79
100306944	None	10090	Snora73a	None	None	None	None	None
100310845	7404	10116	Uty	UTY	7404	UTY	HGNC:12638	HGNC:12638
100310874	55010	10116	Parpbp	PARPBP	55010	PARPBP	HGNC:26074	HGNC:26074
100313531	None	10090	Nkx2-2os	None	None	None	None	None
100313973	None	10116	Mir329	None	None	None	None	None
100313977	442892	10116	Mir148b	MIR148B	442892	MIR148B	HGNC:31761	HGNC:31761
100313980	442909	10116	Mir342	MIR342	442909	MIR342	HGNC:31778	HGNC:31778
100313987	442891	10116	Mir135b	MIR135B	442891	MIR135B	HGNC:31760	HGNC:31760
100313988	406894	10116	Mir101-2	MIR101-2	406894	MIR101-2	HGNC:31489	HGNC:31489
100313996	406902	10116	Mir10a	MIR10A	406902	MIR10A	HGNC:31497	HGNC:31497
100313998	406952	10116	Mir17	MIR17	406952	MIR17	HGNC:31547	HGNC:31547
100314001	407004	10116	Mir22	MIR22	407004	MIR22	HGNC:31599	HGNC:31599
100314011	407029	10116	Mir30a	MIR30A	407029	MIR30A	HGNC:31624	HGNC:31624
100314015	407040	10116	Mir34a	MIR34A	407040	MIR34A	HGNC:31635	HGNC:31635
100314019	407055	10116	Mir99a	MIR99A	407055	MIR99A	HGNC:31650	HGNC:31650
100314028	100126318	10116	Mir130b	MIR301B	100126318	MIR301B	HGNC:33667	HGNC:33667
100314029	406921	10116	Mir132	MIR132	406921	MIR132	HGNC:31516	HGNC:31516
100314033	406929	10116	Mir138-1	MIR138-1	406929	MIR138-1	HGNC:31524	HGNC:31524
100314037	406943	10116	Mir152	MIR152	406943	MIR152	HGNC:31538	HGNC:31538
100314051	406987	10116	Mir204	MIR204	406987	MIR204	HGNC:31582	HGNC:31582
100314052	406989	10116	Mir206	MIR206	406989	MIR206	HGNC:31584	HGNC:31584
100314053	None	10116	Mir210	None	None	None	None	None
100314054	406993	10116	Mir211	MIR211	406993	MIR211	HGNC:31588	HGNC:31588
100314055	406996	10116	Mir214	MIR214	406996	MIR214	HGNC:31591	HGNC:31591
100314057	407001	10116	Mir218-2	MIR218-2	407001	MIR218-2	HGNC:31596	HGNC:31596
100314060	407008	10116	Mir223	MIR223	407008	MIR223	HGNC:31603	HGNC:31603
100314065	None	10116	Mir320a	None	None	None	None	None
100314070	574411	10116	Mir451a	MIR451A	574411	MIR451A	HGNC:32053	HGNC:32053
100314078	442890	10116	Mir133b	MIR133B	442890	MIR133B	HGNC:31759	HGNC:31759
100314082	574452	10116	Mir494	MIR494	574452	MIR494	HGNC:32084	HGNC:32084
100314091	None	10116	Mir499a	None	None	None	None	None
100314121	574447	10116	Mir146b	MIR146B	574447	MIR146B	HGNC:32079	HGNC:32079
100314129	None	10116	Mir615	None	None	None	None	None
100314143	100313843	10116	Mir711	MIR711	100313843	MIR711	HGNC:37316	HGNC:37316
100314146	442907	10116	Mir339	MIR339	442907	MIR339	HGNC:31776	HGNC:31776
100314150	406949	10116	Mir15b	MIR15B	406949	MIR15B	HGNC:31544	HGNC:31544
100314151	406979	10116	Mir19a	MIR19A	406979	MIR19A	HGNC:31574	HGNC:31574
100314153	None	10116	Mir30e	None	None	None	None	None
100314155	406909	10116	Mir124-3	MIR124-3	406909	MIR124-3	HGNC:31504	HGNC:31504
100314163	407006	10116	Mir221	MIR221	407006	MIR221	HGNC:31601	HGNC:31601
100314165	574038	10116	Mir431	MIR431	574038	MIR431	HGNC:32027	HGNC:32027
100314177	724022	10116	Mir652	MIR652	724022	MIR652	HGNC:32908	HGNC:32908
100314180	100126315	10116	Mir665	MIR665	100126315	MIR665	HGNC:33662	HGNC:33662
100314185	407045	10116	Mir9	MIR7-3	407045	MIR7-3	HGNC:31640	HGNC:31640
100314190	406914	10116	Mir127	MIR127	406914	MIR127	HGNC:31509	HGNC:31509
100314193	406967	10116	Mir192	MIR192	406967	MIR192	HGNC:31562	HGNC:31562
100314205	619556	10116	Mir455	MIR455	619556	MIR455	HGNC:32344	HGNC:32344
100314214	407039	10116	Mir33	MIR33A	407039	MIR33A	HGNC:31634	HGNC:31634
100314216	406998	10116	Mir216a	MIR216A	406998	MIR216A	HGNC:31593	HGNC:31593
100314222	406982	10116	Mir20a	MIR20A	406982	MIR20A	HGNC:31577	HGNC:31577
100314226	406903	10116	Mir10b	MIR10B	406903	MIR10B	HGNC:31498	HGNC:31498
100314227	406953	10116	Mir18a	MIR18A	406953	MIR18A	HGNC:31548	HGNC:31548
100314236	406910	10116	Mir125a	MIR125A	406910	MIR125A	HGNC:31505	HGNC:31505
100314242	406957	10116	Mir181c	MIR181C	406957	MIR181C	HGNC:31552	HGNC:31552
100314245	406977	10116	Mir199a2	MIR199A2	406977	MIR199A2	HGNC:31572	HGNC:31572
100314247	406994	10116	Mir212	MIR212	406994	MIR212	HGNC:31589	HGNC:31589
100314254	442915	10116	Mir370	MIR370	442915	MIR370	HGNC:31784	HGNC:31784
100314276	406932	10116	Mir140	MIR140	406932	MIR140	HGNC:31527	HGNC:31527
