	#TRI ID	Sentence	TF	TG	Label	Type	pred_prob_TRI	probabilities_TRI	pred_prob_MoR	probabilities_MoR
19909	16508963:7:NFKB:PTGS2	Association of phosphorylated H3, [TF] (NF-kappaB), and RNA polymerase II to the [TG] gene promoter was evaluated by chromatin immunoprecipitation (ChIP).	RelA	COX-2	False		0.01945275068283081	0.9805472493171692		
19526	21062982:3:NFKB:CDKN2A	Binding of [TF] and p52 subunits of NF-B was shown to the Dmp1 promoter and that of Dmp1 to the [TG] promoter on HER2/neu overexpression.	p65	Arf	False		0.024203062057495117	0.9757969379425049		
16047	9529131:12:NFKB:CUX1	We conclude that the [TG] subunit of the transcription factor [TF] is induced by different inflammatory mediators while lymphokines fail to induce p100 expression which may be caused by the induction of NF-kappaB predominantly consisting of p50 homodimers.	NF-kappaB	p100	False		0.10407906770706177	0.8959209322929382		
457	18541154:0:E2F3:Cdc6	We conclude that AR regulates Cdc6 transcription through interaction with the [TG] promoter, and complex formation with E2F1 and [TF] in a differential manner.	E2F3	Cdc6	False		0.10846620798110962	0.8915337920188904		
863	16652157:0:p53:downregulated in rhabdomyosarcoma Lim protein	Here we show that full-length E4F1 protein (p120(E4F1)) but not its E1A-activated and truncated form (p50(E4F1)), interacts directly in vitro and in vivo with the LIM-only protein FHL2, the product of the [TF]-responsive gene FHL2/DRAL ([TG]).	p53	downregulated in rhabdomyosarcoma Lim protein	True	ACTIVATION	0.0023886929266154766	0.0023886929266154766	0.03262928128242493	[0.9661595821380615, 0.03262928128242493, 0.0012111307587474585]
13013	15735013:2:DNMT1:RUNX1	We previously reported that expression of the [TG]/MTG8 target gene IL-3 is synergistically restored by the combination of inhibitors of HDACs (i.e., depsipeptide) and DNA methyltransferases ([TF]; i.e., decitabine) in RUNX1/MTG8-positive Kasumi-1 cells.	DNMT	RUNX1	True	UNDEFINED	0.0024599640164524317	0.0024599640164524317	0.11827132105827332	[0.11827132105827332, 0.8132314085960388, 0.06849730759859085]
8555	15899785:9:MYC:CDKN1A	For example, [TF] and chemical [TG] inhibitors, which repress p21, sensitize tumor cells to apoptosis by anticancer drugs.	c-Myc	p21	True	REPRESSION	0.0024922119919210672	0.0024922119919210672	0.1382063627243042	[0.15601328015327454, 0.7057803273200989, 0.1382063627243042]
862	16652157:0:p53:DRAL	Here we show that full-length E4F1 protein (p120(E4F1)) but not its E1A-activated and truncated form (p50(E4F1)), interacts directly in vitro and in vivo with the LIM-only protein FHL2, the product of the [TF]-responsive gene FHL2/[TG] (downregulated in rhabdomyosarcoma Lim protein).	p53	DRAL	True	ACTIVATION	0.002582904417067766	0.002582904417067766	0.12552276253700256	[0.8721563220024109, 0.12552276253700256, 0.0023208786733448505]
10057	19173292:6:SRF:HOPX	Analysis of the serum response element (SRE) of c-fos gene promoter showed that the effect of [TG] expression is associated with inhibition of E(2)-induced c-fos activation through the [TF] (SRF) motif.	serum response factor	HOPX	True	UNDEFINED	0.0026351381093263626	0.0026351381093263626	0.05052489787340164	[0.05052489787340164, 0.07442767173051834, 0.8750474452972412]
6633	16176868:6:AP1:MAP2K6	In addition, we examined MAP kinases as potential targets of retinoid signalling in human breast cancer cells and demonstrated that retinoids repress [TF]-responsive gene expression by inhibiting [TG]/p38 and mainly MEK/ERK signalling pathways.	AP1	MKK6	True	UNDEFINED	0.0029864429961889982	0.0029864429961889982	0.1732368767261505	[0.1732368767261505, 0.8241843581199646, 0.0025786813348531723]
