Gene ID	Symbol	TaxID	GO:0003700	GO:0003712	GO:0001098	GO:0002039	GO:0008134	GO:0042393	GO:0046332	GO:0006325	GO:0140993	GO:0006355	lambert_2018.present	Lovering_2021.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus_cofactors.present	tcof_cotf_human.present	tcof_cotf_mouse.present	TFclass_human	TFclass_mouse	TFclass_rat	TF type	human_entrez_gene	hgnc_id	human_symbol
245525	Hsf3	10090	GO:0003700									GO:0003700;GO:0006355;GO:0045944									TFclass_mouse.present		dbTF			
18617	Rhox5	10090	GO:0001228									GO:0000122;GO:0001228;GO:0006357;GO:0045893;GO:0045944											dbTF			
29589	Pou3f4	10116	GO:0000981;GO:0003700									GO:0000981;GO:0003700;GO:0006355;GO:0006357										TFclass_rat.present	dbTF	7920;5456	HGNC:13921;HGNC:9217	ABHD16A;POU3F4
84472	Ilf3	10116	GO:0003700									GO:0003700;GO:0045892;GO:0045893											dbTF	51104;3609	HGNC:24278;HGNC:6038	ABHD17B;ILF3
54608	Abhd2	10090	GO:0003707									GO:0003707											dbTF	11057	HGNC:18717	ABHD2
11057	ABHD2	9606	GO:0003707									GO:0003707											dbTF	11057	HGNC:18717	ABHD2
296953	Irf5	10116																				TFclass_rat.present	dbTF	197322;3663	HGNC:27288;HGNC:6120	ACSF3;IRF5
361630	Tead1	10116																				TFclass_rat.present	dbTF	9509;7003;7004	HGNC:218;HGNC:11714;HGNC:11717	ADAMTS2;TEAD1;TEAD4
58921	Foxm1	10116	GO:0003700									GO:0000122;GO:0003700;GO:0006355;GO:0006357;GO:0045892;GO:0045893;GO:0045944										TFclass_rat.present	dbTF	222487;2305	HGNC:13728;HGNC:3818	ADGRG3;FOXM1
11538	Adnp	10090	GO:0000981									GO:0000981;GO:0006357									TFclass_mouse.present		dbTF	23394	HGNC:15766	ADNP
23394	ADNP	9606	GO:0000981									GO:0000981;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	23394	HGNC:15766	ADNP
84350	Dnmt1	10116					GO:0030331			GO:0006325;GO:0006346;GO:0043045;GO:0044027;GO:0141119		GO:0000122;GO:0045892					animal_tfdb_Rattus_norvegicus_cofactors					TFclass_rat.present	dbTF	153;1786	HGNC:285;HGNC:2976	ADRB1;DNMT1
305494	Aebp1	10116	GO:0001227									GO:0000122;GO:0001227;GO:0006355					animal_tfdb_Rattus_norvegicus_cofactors						dbTF	165	HGNC:303	AEBP1
165	AEBP1	9606	GO:0001227									GO:0000122;GO:0001227;GO:0006355	lambert_2018	Lovering_2021	animal_tfdb_Homo_sapiens_cofactors								dbTF	165	HGNC:303	AEBP1
11568	Aebp1	10090	GO:0001227									GO:0000122;GO:0001227;GO:0006355				animal_tfdb_Mus_musculus_cofactors							dbTF	165;56265;119587	HGNC:303;HGNC:15771;HGNC:26977	AEBP1;CPXM1;CPXM2
11569	Aebp2	10090		GO:0003712						GO:0006325		GO:0000122;GO:0006355;GO:0006357									TFclass_mouse.present		dbTF	121536	HGNC:24051	AEBP2
121536	AEBP2	9606		GO:0003712						GO:0006325		GO:0000122;GO:0006355;GO:0006357	lambert_2018							TFclass_human.present			dbTF	121536	HGNC:24051	AEBP2
17355	Aff1	10090	GO:0003700									GO:0003700;GO:0045893											dbTF	4299	HGNC:7135	AFF1
16764	Aff3	10090	GO:0003700									GO:0003700;GO:0006355											dbTF	3899	HGNC:6473	AFF3
3899	AFF3	9606	GO:0003700									GO:0003700;GO:0006355											dbTF	3899	HGNC:6473	AFF3
